,Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
1852,Low Fat,NCI06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047912071,11.3,179.866,4.3
1853,Low Fat,NCK30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.061226969,14.85,253.0698,4.3
1854,Low Fat,NCW06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.050545502,16.2,191.6162,4.3
1855,Low Fat,NCI42,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.01040777,18.75,209.4954,4.3
1856,Low Fat,NCV30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066200667,20.2,61.451,4.3
1857,Low Fat,NCP06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039405676,20.7,149.8366,4.3
1858,Low Fat,FDN15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.016802225,17.5,138.518,4.3
1859,Low Fat,NCN19,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012148836,13.1,191.353,4.3
1860,Low Fat,FDX21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.085312137,7.05,107.4912,4.3
1861,Low Fat,FDT58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.08630486,9.0,168.0816,4.3
1862,Low Fat,FDT22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.112553853,10.395,59.022,4.3
1863,Low Fat,FDY45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026248606,17.5,255.1356,4.3
1864,Low Fat,FDU34,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075501241,18.25,123.1046,4.3
1865,Low Fat,FDN21,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.077168705,18.6,160.6236,4.3
1866,Low Fat,FDO58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.039738393,19.6,163.7526,4.3
1867,Low Fat,DRG49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067730081,7.81,242.6486,4.3
1868,Low Fat,DRE48,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017396308,8.43,196.0768,4.3
1869,Low Fat,DRI49,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.184254826,14.15,82.4276,4.3
1870,Low Fat,DRD13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.049279392,15.0,65.7168,4.3
1871,Low Fat,DRI37,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.108036187,15.85,57.3904,4.3
1872,Low Fat,DRG13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037337632,17.25,163.7526,4.3
1873,Regular,FDX48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038042233,17.75,154.2656,4.3
1874,Regular,FDX47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034745307,6.55,158.8288,4.3
1875,Regular,FDL13,Breakfast,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.056547986,13.85,232.73,4.3
1876,Regular,FDA37,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.055451725,7.81,122.6046,4.3
1877,Regular,FDP13,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.134870732,8.1,41.948,4.3
1878,Regular,FDQ25,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028391879,8.63,173.9422,4.3
1879,Regular,FDE14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.031573246,13.65,99.47,4.3
1880,Regular,FDA01,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.054599767,15.0,59.4904,4.3
1881,Regular,FDW38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.139244918,5.325,53.0298,4.3
1882,Regular,FDJ03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.072689818,12.35,48.7692,4.3
1883,Regular,FDK03,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.074221559,12.6,255.9356,4.3
1884,Regular,FDC40,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.065328932,16.0,78.4986,4.3
1885,Regular,FDT26,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.06823032,18.85,121.044,4.3
1886,Regular,FDM16,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.033692089,8.155,76.2354,4.3
1887,Regular,FDH05,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.091283986,14.35,232.6984,4.3
1888,Regular,FDO31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029100745,6.76,80.696,4.3
1889,Regular,FDN08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,7.72,117.7466,4.3
1890,Regular,FDC33,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069219165,8.96,196.5768,4.3
1891,Regular,FDO08,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,11.1,165.5526,4.3
1892,Regular,FDW19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.038657256,12.35,110.257,4.3
1893,Regular,FDY20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.082085787,12.5,92.2488,4.3
1894,Regular,FDV19,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.035400659,14.85,161.9578,4.3
1895,Regular,FDF45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.012254429,18.2,59.9904,4.3
1896,Regular,FDQ27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044432887,5.19,102.899,4.3
1897,Regular,FDY39,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047220268,5.305,181.9608,4.3
1898,Regular,FDM27,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.15911489,12.35,158.1946,4.3
1899,Regular,FDU51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.096906831,20.2,175.5028,4.3
1900,Regular,FDS45,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029616108,5.175,107.7622,4.3
1901,Regular,FDK10,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040523265,5.785,177.866,4.3
1902,Regular,FDO46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.014270394,9.6,187.3872,4.3
1903,Regular,FDL57,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067350054,15.1,257.3304,4.3
1904,Regular,FDS46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047449835,17.6,118.1782,4.3
1905,Regular,DRC13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032573725,8.26,125.073,4.3
1906,Regular,FDE23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.053397642,17.6,46.706,4.3
1907,Low Fat,DRJ01,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.115500999,6.135,161.1236,4.3
1908,Regular,FDA04,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.067001825,11.3,259.1962,4.3
1909,Regular,FDS31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.044372393,13.1,180.3318,4.3
1910,Low Fat,FDX60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.080203852,12.857645184135977,77.996,4.3
1911,Low Fat,FDM20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.857645184135977,245.0144,4.3
1912,Low Fat,FDW08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.147663025,12.857645184135977,106.028,4.3
1913,Low Fat,NCR50,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011762847,12.857645184135977,153.534,4.3
1914,Low Fat,FDE24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.093010026,12.857645184135977,143.0812,4.3
1915,Low Fat,FDJ48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.056161529,12.857645184135977,246.9118,4.3
1916,Low Fat,FDO60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.034203092,12.857645184135977,43.3086,4.3
1917,Low Fat,FDR48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.130867413,12.857645184135977,150.8024,4.3
1918,Low Fat,FDA13,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.078174543,12.857645184135977,39.9506,4.3
1919,Low Fat,FDF50,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.116762173,12.857645184135977,198.9768,4.3
1920,Low Fat,FDN02,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.073470234,12.857645184135977,205.3638,4.3
1921,Low Fat,DRE15,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01769927,12.857645184135977,74.2012,4.3
1922,Low Fat,DRF27,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02827966,12.857645184135977,152.234,4.3
1923,Low Fat,FDC17,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.015385857,12.857645184135977,208.9928,4.3
1924,Low Fat,FDH41,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.081614376,12.857645184135977,214.7534,4.3
1925,Low Fat,FDX28,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.857645184135977,100.7042,4.3
1926,Low Fat,FDB08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.030952737,12.857645184135977,160.1578,4.3
1927,Low Fat,FDC32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.098629062,12.857645184135977,90.6462,4.3
1928,Low Fat,FDC44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.171761077,12.857645184135977,115.7518,4.3
1929,Low Fat,FDD08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.035183156,12.857645184135977,37.8506,4.3
1930,Low Fat,FDD20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.020614212,12.857645184135977,126.4046,4.3
1931,Low Fat,FDE08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049080853,12.857645184135977,147.7734,4.3
1932,Low Fat,FDE57,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.036109413,12.857645184135977,140.6154,4.3
1933,Low Fat,FDL20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.127792701,12.857645184135977,111.1886,4.3
1934,Low Fat,FDN20,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026055106,12.857645184135977,169.5474,4.3
1935,Low Fat,DRK59,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075084457,12.857645184135977,233.9616,4.3
1936,Low Fat,NCQ17,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.116366304,12.857645184135977,158.363,4.3
1937,Low Fat,NCQ41,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.019386057,12.857645184135977,194.5794,4.3
1938,Low Fat,NCC18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.176411579,12.857645184135977,173.2422,4.3
1939,Low Fat,NCH55,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.034504414,12.857645184135977,125.202,4.3
1940,Low Fat,NCL54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.082353076,12.857645184135977,176.9054,4.3
1941,Low Fat,NCO14,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.029500321,12.857645184135977,46.2086,4.3
1942,Low Fat,NCX54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.047827139,12.857645184135977,105.3622,4.3
1943,Low Fat,FDI19,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.052085615,12.857645184135977,242.8512,4.3
1944,Low Fat,FDL43,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026933321,12.857645184135977,78.467,4.3
1945,Low Fat,FDN15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.016653022,12.857645184135977,139.518,4.3
1946,Low Fat,FDP15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.083536071,12.857645184135977,255.433,4.3
1947,Low Fat,FDQ39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.080649685,12.857645184135977,189.9846,4.3
1948,Low Fat,FDT03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.009950343,12.857645184135977,185.5608,4.3
1949,Low Fat,FDV51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.032381325,12.857645184135977,166.1842,4.3
1950,Low Fat,FDY51,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.080741927,12.857645184135977,220.8798,4.3
1951,Low Fat,NCM43,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01938106,12.857645184135977,164.321,4.3
1952,Low Fat,FDP33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.088839949,12.857645184135977,254.2672,4.3
1953,Low Fat,FDV21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.170254469,12.857645184135977,124.8704,4.3
1954,Low Fat,DRD25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.078589629,12.857645184135977,113.286,4.3
1955,Low Fat,DRE25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.072928316,12.857645184135977,94.412,4.3
1956,Low Fat,DRF36,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.023463124,12.857645184135977,190.6846,4.3
1957,Low Fat,DRG13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.037006076,12.857645184135977,164.7526,4.3
1958,Low Fat,DRK13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.114609875,12.857645184135977,197.0084,4.3
1959,Regular,FDN23,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075142108,12.857645184135977,145.8444,4.3
1960,Regular,FDS59,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04368089,12.857645184135977,110.157,4.3
1961,Regular,FDZ35,Breads,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022170592,12.857645184135977,105.199,4.3
1962,Regular,FDD38,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.0,12.857645184135977,100.3674,4.3
1963,Regular,FDU01,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011937183,12.857645184135977,184.7924,4.3
1964,Regular,FDC29,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024088444,12.857645184135977,112.7176,4.3
1965,Regular,FDD41,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.086837543,12.857645184135977,106.2306,4.3
1966,Regular,FDA08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.049842613,12.857645184135977,164.2526,4.3
1967,Regular,FDQ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.086983591,12.857645184135977,219.8456,4.3
1968,Regular,FDQ31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.053586458,12.857645184135977,89.7856,4.3
1969,Regular,FDL03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.026949463,12.857645184135977,197.711,4.3
1970,Regular,FDO27,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.178210285,12.857645184135977,95.7752,4.3
1971,Regular,FDJ33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.087894475,12.857645184135977,121.173,4.3
1972,Regular,FDW09,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.025795293,12.857645184135977,80.2302,4.3
1973,Regular,FDZ21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039031927,12.857645184135977,95.641,4.3
1974,Regular,DRZ11,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.112119359,12.857645184135977,123.0388,4.3
1975,Low Fat,FDF32,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.0680243,16.35,196.4426,4.2
1976,Regular,FDN22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.138190277,18.85,250.8724,4.2
1977,Low Fat,NCS17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.080829372,18.6,96.4436,4.2
1978,Low Fat,FDK43,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.02681843,9.8,126.002,4.2
1979,Low Fat,FDM40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.159803853,10.195,141.5154,4.2
1980,Regular,FDN33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.123115764,6.305,95.6436,4.2
1981,Regular,FDW39,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.064625342,12.857645184135977,176.937,4.2
1982,Low Fat,DRJ13,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.063017847,12.65,159.0578,4.2
1983,Low Fat,DRI49,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.183507295,14.15,82.4276,4.2
1984,Low Fat,FDS52,Frozen Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.009163216,8.89,101.7016,4.2
1985,Low Fat,NCX54,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.048331717,9.195,105.1622,4.2
1986,Regular,FDI16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0,14.0,53.064,4.2
1987,Regular,FDM22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.04192285,14.0,54.764,4.2
1988,Low Fat,NCO17,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.128478462,12.857645184135977,117.944,4.2
1989,Regular,FDK58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.045165796,11.35,100.0016,4.2
1990,Regular,FDA08,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.050186726,11.85,164.1526,4.2
1991,Low Fat,DRC27,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.058091482,13.8,245.1802,4.2
1992,Regular,FDL58,Snack Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0,5.78,263.7568,4.2
1993,Low Fat,DRJ51,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.087977262,14.1,229.0668,4.2
1994,Regular,FDY03,Meat,2015,OUT045,Tier 2,Small,Supermarket Type1,0.076276208,17.6,110.9202,4.2
1995,Low Fat,FDG29,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.056245075,17.6,43.3454,4.2
1996,Low Fat,DRP47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.141398626,15.75,250.5382,4.2
1997,Low Fat,FDB53,Frozen Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.139735226,13.35,147.5392,4.2
1998,Regular,FDM01,Breakfast,2020,OUT017,Tier 2,Small,Supermarket Type1,0.095102092,7.895,104.4332,4.2
1999,Low Fat,FDJ22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.09246392,12.857645184135977,190.9504,4.2
2000,Regular,FDR59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.063993068,14.5,260.4594,4.2
2001,Low Fat,FDH27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.058346939,7.075,142.2128,4.2
2002,Low Fat,NCW53,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.053392944,12.857645184135977,193.8162,4.2
2003,Low Fat,FDW24,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.065652494,12.857645184135977,48.9034,4.2
2004,Regular,FDF11,Starchy Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.017627888,10.195,239.6538,4.2
2005,Low Fat,FDZ27,Dairy,2015,OUT045,Tier 2,Small,Supermarket Type1,0.017191055,7.935,51.535,4.2
2006,Regular,FDL51,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047565208,20.7,213.4876,4.2
2007,Low Fat,FDX08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.022604051,12.85,181.4318,4.2
2008,Low Fat,DRH15,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0,8.775,45.9428,4.2
2009,Low Fat,FDS26,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.089035961,12.857645184135977,260.5594,4.2
2010,Regular,FDT09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012282366,15.15,132.5284,4.2
2011,Low Fat,FDK41,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.127541722,14.3,84.9224,4.2
2012,Low Fat,FDN09,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.05837308,14.15,243.9828,4.2
2013,Low Fat,FDK24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,9.195,43.6744,4.2
2014,Regular,FDW31,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.043333912,11.35,201.0742,4.2
2015,Regular,FDL48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.082197959,19.35,49.2034,4.2
2016,Regular,FDB38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.0,12.857645184135977,160.692,4.2
2017,Regular,FDW44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.035205866,9.5,171.3448,4.2
2018,Low Fat,FDE22,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.051778173,12.857645184135977,157.892,4.2
2019,Low Fat,NCU41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.052054819,18.85,189.1846,4.2
2020,Low Fat,FDL46,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.053795154,12.857645184135977,117.7466,4.2
2021,Low Fat,FDB21,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.148492521,7.475,240.6854,4.2
2022,Low Fat,NCJ42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014301326,19.75,103.0332,4.2
2023,Low Fat,FDJ08,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.111298111,11.1,191.7846,4.2
2024,Low Fat,FDB16,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.044995631,8.21,89.2198,4.2
2025,Regular,FDJ55,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.023567538,12.8,226.8404,4.2
2026,Low Fat,NCZ06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.164864915,12.857645184135977,255.2698,4.2
2027,Low Fat,FDM14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.013263968,13.8,106.9254,4.2
2028,Low Fat,FDA23,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.047187038,9.8,100.6016,4.2
2029,Low Fat,FDW49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.082552214,19.5,179.8002,4.2
2030,Low Fat,DRK23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072088552,8.395,253.704,4.2
2031,Regular,FDV56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.013529884,12.857645184135977,106.2596,4.2
2032,Low Fat,DRK39,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.049823902,7.02,82.225,4.2
2033,Low Fat,FDM52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.026046138,15.1,147.2076,4.2
2034,Low Fat,FDH58,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.037014587,12.3,115.1834,4.2
2035,Regular,FDL24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024776026,12.857645184135977,172.3422,4.2
2036,Low Fat,FDF46,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.093653464,7.07,113.3834,4.2
2037,Low Fat,NCO54,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01430324,19.5,57.2614,4.2
2038,Low Fat,NCR17,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.024482644,9.8,116.2492,4.2
2039,Regular,FDU44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.058142797,12.857645184135977,162.1552,4.2
2040,Regular,FDJ03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.072334667,12.35,49.1692,4.2
2041,Regular,FDZ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.109459733,12.857645184135977,84.1592,4.2
2042,Low Fat,NCK42,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.013120028,7.475,217.6192,4.2
2043,Low Fat,DRK12,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.0,9.5,32.89,4.2
2044,Low Fat,NCR30,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.071282168,20.6,74.4696,4.2
2045,Low Fat,NCZ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.064367627,19.85,126.1704,4.2
2046,Regular,FDN52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.13093275,12.857645184135977,86.9198,4.2
2047,Low Fat,FDA43,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.064621927,10.895,196.6794,4.2
2048,Low Fat,NCO18,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.024701262,13.15,176.8686,4.2
2049,Low Fat,FDZ33,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.107376743,10.195,147.6076,4.2
2050,Low Fat,NCY05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.054990009,13.5,35.2874,4.2
2051,Low Fat,FDO34,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.050111641,17.7,165.9816,4.2
2052,Low Fat,FDX20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.042626422,7.365,227.072,4.2
2053,Low Fat,NCD19,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0,8.93,53.2614,4.2
2054,Low Fat,FDZ12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.103138922,9.17,141.747,4.2
2055,Low Fat,FDA23,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.047260402,9.8,102.8016,4.2
2056,Low Fat,FDO12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.055015935,15.75,194.3452,4.2
2057,Low Fat,FDH24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.021464454,20.7,156.6288,4.2
2058,Low Fat,FDW47,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.046447328,15.0,121.5414,4.2
